Age,Gender,Marital status,Occupation,Education Qualification,Member in family,Place,Which you like to prefer for online food app,Feedback of last order
26,Male,Unmarried,Service,Graduation,6,Alipurduar,Zomato,Positive
21,Female,Unmarried,Student,Graduation,3,Alipurduar,Zomato,Positive
20,Male,Unmarried,Student,Graduation,7,Coochbehar,Zomato,Positive
20,Female,Unmarried,Student,Graduation,4,Alipurduar,Zomato,Positive
21,Male,Unmarried,Student,Graduation,4,Coochbehar,Zomato,Positive
20,Female,Unmarried,Student,Graduation,4,Alipurduar,Zomato,Positive
22,Male,Unmarried,Student,Graduation,3,Alipurduar,Zomato,Positive
26,Female,Unmarried,Service,Graduation,4,Alipurduar,Zomato,Positive
28,Male,Unmarried,Service,Graduation,5,Dinhata,Zomato,Positive
20,Female,Unmarried,Student,Graduation,4,Alipurduar,Zomato,Positive
20,Male,Unmarried,Student,Higher Secondary,5,Mathabhanga ,Swiggy,Negative
20,Female,Unmarried,Student,Higher Secondary,4,Coochbehar,Swiggy,Negative
25,Male,Unmarried,Service,Graduation,3,Coochbehar,Swiggy,Positive
30,Female,Married,Business,Masters,4,Jalpaiguri ,Swiggy,Positive
21,Male,Unmarried,Student,Graduation,3,Alipurduar,Zomato,Positive
21,Female,Unmarried,Student,Graduation,3,Alipurduar,Zomato,Positive
21,Male,Unmarried,Student,Graduation,4,Coochbehar,Swiggy,Positive
21,Female,Unmarried,Student,Higher Secondary,3,Coochbehar,Zomato,Negative
20,Male,Unmarried,Student,Higher Secondary,4,Coochbehar,Zomato,Positive
20,Female,Unmarried,Student,Higher Secondary,4,Coochbehar,Zomato,Positive
27,Male,Married,Service,Secondary,3,Coochbehar,Zomato,Negative
21,Female,Unmarried,Student,GNM Nursing student ,3,Coochbehar,Zomato,Positive
28,Male,Unmarried,Business,PHD,1,Coochbehar,Zomato,Positive
20,Female,Unmarried,Student,Graduation,10,Coochbehar,Zomato,Positive
22,Male,Unmarried,Student,Graduation,5,Coochbehar,Swiggy,Positive
20,Female,Unmarried,Student,Graduation,10,Coochbehar,Zomato,Positive
21,Male,Unmarried,Student,Higher Secondary,6,Alipurduar,Zomato,Positive
17,Female,Unmarried,Business,Primary,3,Coochbehar,Zomato,Positive
26,Female,Unmarried,Business,Graduation,5,Mathabhanga ,Zomato,Positive
20,Male,Unmarried,Student,Graduation,5,Coochbehar,Zomato,Negative
20,Female,Unmarried,Student,Nursing student,4,Coochbehar,Zomato,Positive
